@RELATION tweets

@ATTRIBUTE tweet string
@ATTRIBUTE class {news,noise,provider,receiver}


@DATA
'francês sanofi junta exército eua desenvolver vacina contra zika url url',news
'plano saúde obrigado pagar exame vírus zika url url url',news
'cobertura obrigatória exame detecção vírus zika três exame detecção vírus zika passar url',news
'caso chikungunya crescer numeral numeral relação numeral maceió url',news
'retweet zika plano saúde dever arcar exame identificar vírus url url',news
'plano saúde unimed prontomed saúde vida hsjd pagar exame zika viru divinopolil saude url',news
'retweet câmara aprovo medida provisória garante r numeral milhão combate zika vírus url url',news
'crise zika ameaçar olimpíada brasil the new york time company url',news
'gif tira casaco poe casaco rihanno vir br rihanno cancela causa zika viru rihanno confirma ver br rihanno cance',noise
'frase hoje devia inventar repelente gente falso do zika ficadica',noise
'tô pegando gripe tão gostozamente acho engravidar gêmeo zika vírus',noise
'viro mosquito porque acho zika funny badunt',noise
'look básico contra zika viru url',noise
'thanksforcomeback numeral h calma gente amam verdade proteger zika vírus proteger rainha brasil',noise
'retweet único preparar pra olimpíada mosquito dengue',noise
'zika epidemia desigualdade água pontal url',news
'água pontal zika epidemia desigualdade url',news
'retweet serenidade olhar nao vir pro brasil medo zika viru url',noise
'semana passar governar aprovar pulverização veneno contra mosquito dengue url dengue veneno',news
